iter	Passed	Remaining
0	121	121023
1	209	104573
2	307	102277
3	454	113053
4	577	114903
5	681	112984
6	816	115839
7	932	115674
8	1035	114058
9	1132	112123
10	1255	112902
11	1383	113887
12	1486	112842
13	1589	111935
14	1702	111806
15	1834	112832
16	1936	112001
17	2049	111791
18	2198	113535
19	2341	114724
20	2479	115608
21	2614	116247
22	2756	117084
23	2900	117972
24	3022	117869
25	3168	118704
26	3329	119994
27	3481	120844
28	3612	120945
29	3753	121373
30	3913	122315
31	4085	123586
32	4258	124781
33	4392	124811
34	4540	125186
35	4661	124822
36	4868	126715
37	5001	126605
38	5225	128763
39	5433	130399
40	5578	130489
41	5730	130701
42	5998	133492
43	6267	136180
44	6556	139151
45	6853	142133
46	7017	142283
47	7199	142798
48	7367	142986
49	7547	143404
50	7702	143325
51	7871	143503
52	8021	143334
53	8165	143046
54	8286	142374
55	8418	141916
56	8539	141268
57	8651	140508
58	8781	140064
59	8885	139208
60	9023	138896
61	9159	138570
62	9290	138170
63	9408	137597
64	9565	137599
65	9714	137476
66	9851	137180
67	9974	136709
68	10078	135990
69	10198	135495
70	10354	135489
71	10573	136275
72	10665	135438
73	10794	135074
74	10919	134673
75	11047	134311
76	11184	134063
77	11325	133871
78	11438	133352
79	11556	132903
80	11668	132385
81	11776	131836
82	11875	131205
83	11984	130683
84	12110	130361
85	12227	129948
86	12328	129378
87	12427	128793
88	12535	128310
89	12635	127760
90	12724	127103
91	12830	126632
92	12925	126055
93	13016	125453
94	13133	125111
95	13242	124700
96	13350	124284
97	13448	123779
98	13542	123253
99	13639	122754
100	13739	122296
101	13842	121866
102	13957	121555
103	14061	121141
104	14163	120726
105	14278	120426
106	14380	120017
107	14467	119493
108	14576	119156
109	14669	118686
110	14772	118311
111	14872	117917
112	14965	117473
113	15077	117181
114	15189	116891
115	15300	116597
116	15409	116295
117	15508	115916
118	15623	115668
119	15754	115535
120	15879	115354
121	16011	115228
122	16119	114933
123	16228	114645
124	16332	114325
125	16433	113993
126	16559	113832
127	16671	113577
128	16786	113340
129	16902	113117
130	17040	113039
131	17166	112884
132	17285	112678
133	17393	112406
134	17502	112144
135	17610	111880
136	17730	111691
137	17858	111547
138	17962	111264
139	18066	110980
140	18180	110758
141	18283	110472
142	18404	110299
143	18527	110133
144	18659	110025
145	18789	109904
146	18901	109679
147	19003	109399
148	19099	109084
149	19200	108802
150	19302	108527
151	19416	108321
152	19528	108106
153	19639	107887
154	19743	107634
155	19852	107408
156	19946	107103
157	20049	106847
158	20137	106513
159	20253	106328
160	20339	105994
161	20471	105896
162	20591	105736
163	20776	105910
164	20865	105589
165	20991	105463
166	21125	105375
167	21243	105204
168	21351	104990
169	21472	104836
170	21612	104775
171	21762	104761
172	21854	104474
173	21962	104256
174	22080	104092
175	22189	103887
176	22294	103664
177	22408	103482
178	22505	103225
179	22614	103023
180	22720	102807
181	22815	102545
182	22906	102266
183	23009	102040
184	23115	101832
185	23225	101644
186	23323	101401
187	23419	101151
188	23541	101015
189	23634	100757
190	23728	100504
191	23838	100320
192	23939	100100
193	24026	99823
194	24135	99635
195	24229	99389
196	24334	99191
197	24442	99004
198	24542	98787
199	24638	98555
200	24743	98360
201	24832	98100
202	24931	97884
203	25034	97684
204	25151	97539
205	25240	97286
206	25342	97086
207	25440	96868
208	25554	96717
209	25660	96532
210	25763	96337
211	25869	96157
212	25980	95993
213	26086	95811
214	26184	95603
215	26298	95454
216	26398	95254
217	26515	95115
218	26626	94953
219	26728	94766
220	26824	94552
221	26936	94398
222	27026	94167
223	27115	93937
224	27226	93779
225	27337	93625
226	27458	93505
227	27577	93377
228	27707	93286
229	27808	93098
230	27930	92980
231	28035	92805
232	28137	92625
233	28242	92452
234	28341	92260
235	28455	92118
236	28562	91955
237	28664	91775
238	28767	91597
239	28895	91502
240	29045	91475
241	29151	91310
242	29262	91157
243	29423	91163
244	29666	91422
245	29784	91291
246	29897	91145
247	30021	91032
248	30115	90831
249	30277	90831
250	30424	90789
251	30547	90672
252	30678	90580
253	30895	90739
254	31045	90702
255	31163	90569
256	31260	90375
257	31359	90189
258	31464	90019
259	31599	89936
260	31715	89800
261	31818	89625
262	31937	89498
263	32044	89337
264	32141	89145
265	32255	89006
266	32358	88834
267	32452	88640
268	32550	88454
269	32656	88294
270	32747	88090
271	32842	87902
272	32970	87801
273	33061	87600
274	33169	87448
275	33265	87262
276	33373	87109
277	33466	86915
278	33574	86763
279	33674	86591
280	33776	86425
281	33878	86258
282	33986	86106
283	34092	85952
284	34192	85782
285	34294	85617
286	34409	85484
287	34520	85341
288	34614	85157
289	34717	84998
290	34826	84852
291	34923	84677
292	35024	84513
293	35119	84334
294	35219	84169
295	35311	83984
296	35411	83819
297	35506	83642
298	35606	83479
299	35718	83343
300	35809	83159
301	35905	82987
302	36024	82868
303	36121	82698
304	36220	82536
305	36332	82400
306	36426	82227
307	36515	82041
308	36623	81898
309	36786	81879
310	36890	81727
311	36990	81569
312	37106	81443
313	37203	81279
314	37301	81116
315	37417	80992
316	37514	80828
317	37608	80658
318	37721	80528
319	37827	80383
320	37920	80211
321	38036	80088
322	38135	79931
323	38224	79751
324	38343	79636
325	38438	79470
326	38543	79325
327	38657	79201
328	38757	79046
329	38850	78879
330	38955	78734
331	39052	78574
332	39143	78405
333	39243	78251
334	39343	78100
335	39441	77943
336	39555	77819
337	39646	77651
338	39743	77493
339	39919	77490
340	40019	77340
341	40105	77161
342	40232	77062
343	40338	76924
344	40441	76780
345	40546	76639
